TOWNSHIP_CODE,TOWNSHIP,STATUS,UFI,UFI_CREATED
5523,MERRINEE,ACTIVE,       10013752,2008/02/28
5527,MIA MIA,ACTIVE,       10013754,2008/02/28
5531,MINERS REST,ACTIVE,       10013756,2008/02/28
5536,MIRBOO,ACTIVE,       10013758,2008/02/28
5541,MODEWARRE,ACTIVE,       10013760,2008/02/28
5545,MOLYULLAH,ACTIVE,       10013762,2008/02/28
5550,MORKALLA,ACTIVE,       10013764,2008/02/28
5554,MORWELL,ACTIVE,       10013766,2008/02/28
5558,MUDGEEGONGA,ACTIVE,       10013768,2008/02/28
5566,MURTOA,ACTIVE,       10013771,2008/02/28
5570,NAGAMBIE,ACTIVE,       10013773,2008/02/28
5574,NARBETHONG,ACTIVE,       10013775,2008/02/28
5579,NATTE YALLOCK,ACTIVE,       10013777,2008/02/28
5583,NEILBOROUGH,ACTIVE,       10013779,2008/02/28
5590,NEWHAVEN,ACTIVE,       10013782,2008/02/28
5594,NEWSTEAD,ACTIVE,       10013784,2008/02/28
5598,NINYEUNOOK,ACTIVE,       10013786,2008/02/28
5603,NORTHCOTE (ADJ CITY OF),ACTIVE,       10013788,2008/02/28
5611,NYAH,ACTIVE,       10013791,2008/02/28
5615,OLD LONGWOOD,ACTIVE,       10013793,2008/02/28
5619,ORFORD,ACTIVE,       10013795,2008/02/28
5622,OXLEY,ACTIVE,       10013797,2008/02/28
5626,PANTON HILL,ACTIVE,       10013799,2008/02/28
5631,PETERBOROUGH,ACTIVE,       10013801,2008/02/28
5638,PIRIES,ACTIVE,       10013804,2008/02/28
5643,POLLARD,ACTIVE,       10013806,2008/02/28
5648,PORT CAMPBELL,ACTIVE,       10013808,2008/02/28
5653,POWELLTOWN,ACTIVE,       10013810,2008/02/28
5657,PURDEET,ACTIVE,       10013812,2008/02/28
5662,QUEENSTOWN,ACTIVE,       10013814,2008/02/28
5669,REDCASTLE,ACTIVE,       10013817,2008/02/28
5674,RHYLL,ACTIVE,       10013819,2008/02/28
5678,ROCHESTER,ACTIVE,       10013821,2008/02/28
5682,ROSEBUD,ACTIVE,       10013823,2008/02/28
5687,RUNNYMEDE,ACTIVE,       10013825,2008/02/28
5691,RYE,ACTIVE,       10013827,2008/02/28
5695,SALE,ACTIVE,       10013829,2008/02/28
5697,SANDFORD,ACTIVE,       10013830,2008/02/28
5701,SCOTTS CREEK,ACTIVE,       10013832,2008/02/28
5708,SERPENTINE,ACTIVE,       10013835,2008/02/28
5713,SHEPPARTON,ACTIVE,       10013837,2008/02/28
5717,SKIPTON,ACTIVE,       10013839,2008/02/28
5721,SMYTHESDALE,ACTIVE,       10013841,2008/02/28
5727,SPRINGHURST,ACTIVE,       10013843,2008/02/28
5734,STONY CREEK,ACTIVE,       10013846,2008/02/28
5739,STRATH CREEK,ACTIVE,       10013848,2008/02/28
5116,BROOKVILLE,RESCINDED,       10013850,2008/02/28
5514C,"CITY OF MELBOURNE, PARISH OF MELBOURNE NORTH",ACTIVE,       10013853,2008/02/28
5457,LEARMONTH,ACTIVE,       10013242,2008/02/28
5475,LONGFORD,ACTIVE,       10013260,2008/02/28
5490,MAFFRA,ACTIVE,       10013275,2008/02/28
5518,MERINGO,ACTIVE,       10013290,2008/02/28
5547,MOONAMBEL,ACTIVE,       10013306,2008/02/28
5576,NARRAWONG,ACTIVE,       10013322,2008/02/28
5606,NULLAWIL,ACTIVE,       10013339,2008/02/28
5637,PIRA,ACTIVE,       10013355,2008/02/28
5658,PYALONG,ACTIVE,       10013367,2008/02/28
5686,RUFFY,ACTIVE,       10013383,2008/02/28
5714,SHIRLEY,ACTIVE,       10013398,2008/02/28
5740,STRATHFIELDSAYE,ACTIVE,       10013413,2008/02/28
5759,TALLAROOK,ACTIVE,       10013431,2008/02/28
5774,TEESDALE,ACTIVE,       10013446,2008/02/28
5784,TIMOR,ACTIVE,       10013456,2008/02/28
5791,TOOLERN VALE,ACTIVE,       10013463,2008/02/28
5800,TRAFALGAR,ACTIVE,       10013472,2008/02/28
5809,TYLDEN,ACTIVE,       10013481,2008/02/28
5588,NEWBRIDGE,ACTIVE,       10013781,2008/02/28
5624,PANITYA,ACTIVE,       10013798,2008/02/28
5659,PYRAMID HILL,ACTIVE,       10013813,2008/02/28
5699,SAN REMO,ACTIVE,       10013831,2008/02/28
5732,STIRLING,ACTIVE,       10013845,2008/02/28
5136,BURKES FLAT,ACTIVE,       10013026,2008/02/28
5170,CHESHUNT,ACTIVE,       10013045,2008/02/28
5200,CORRYONG,ACTIVE,       10013062,2008/02/28
5230,DARTMOUTH,ACTIVE,       10013078,2008/02/28
5263,ECHUCA,ACTIVE,       10013096,2008/02/28
5289,EVERTON,ACTIVE,       10013110,2008/02/28
5318,GIPSY POINT,ACTIVE,       10013127,2008/02/28
5353,GREEN GULLY,ACTIVE,       10013146,2008/02/28
5381,HINNO-MUNJIE,ACTIVE,       10013166,2008/02/28
5403,KANGAROO FLAT,ACTIVE,       10013188,2008/02/28
5421,KINGLAKE CENTRAL,ACTIVE,       10013206,2008/02/28
5445,LAKE CHARM,ACTIVE,       10013230,2008/02/28
