PARISH_TOWN_ID,PARISH_TOWN_CODE,PARISH_TOWN,PARISH_TOWN_DISPLAY,UFI,UFI_CREATED
   628,5182,COBURG (T),TOWNSHIP OF COBURG,       10010099,2008/02/28
   631,5184,COCKATOO (T),TOWNSHIP OF COCKATOO,       10010102,2008/02/28
   635,2403,COHUNA,PARISH OF COHUNA,       10010106,2008/02/28
   638,2405,COLAC,PARISH OF COLAC,       10010109,2008/02/28
   641,2407,COLBINABBIN,PARISH OF COLBINABBIN,       10010112,2008/02/28
   644,5188,COLERAINE (T),TOWNSHIP OF COLERAINE,       10010115,2008/02/28
   648,2412,COLQUHOUN,PARISH OF COLQUHOUN,       10010119,2008/02/28
   651,2415,COLVINSBY,PARISH OF COLVINSBY,       10010122,2008/02/28
   698,2453,CORINELLA,PARISH OF CORINELLA,       10010169,2008/02/28
   701,2455,CORNELLA,PARISH OF CORNELLA,       10010172,2008/02/28
   705,5200,CORRYONG (T),TOWNSHIP OF CORRYONG,       10010176,2008/02/28
   708,2459,COWA,PARISH OF COWA,       10010179,2008/02/28
   711,5204,COWES (T),TOWNSHIP OF COWES,       10010182,2008/02/28
   714,2460,COYNALLAN,PARISH OF COYNALLAN,       10010185,2008/02/28
   718,5207,CRANBOURNE (T),TOWNSHIP OF CRANBOURNE,       10010189,2008/02/28
   721,2463,CRESSY,PARISH OF CRESSY,       10010192,2008/02/28
   724,5211,CRESWICK (T),TOWNSHIP OF CRESWICK,       10010195,2008/02/28
   728,2467,CROSBIE,PARISH OF CROSBIE,       10010199,2008/02/28
   731,5214,CROWLANDS (T),TOWNSHIP OF CROWLANDS,       10010202,2008/02/28
   735,2471,CUDGEWA,PARISH OF CUDGEWA,       10010206,2008/02/28
   738,2472,CUNDARE,PARISH OF CUNDARE,       10010209,2008/02/28
   741,2474,CURRACURT,PARISH OF CURRACURT,       10010212,2008/02/28
   744,2477,CURYO,PARISH OF CURYO,       10010215,2008/02/28
   747,2479,DAAHL,PARISH OF DAAHL,       10010218,2008/02/28
   750,5220,DALHOUSIE (T),TOWNSHIP OF DALHOUSIE,       10010221,2008/02/28
   754,2484,DANDONGADALE,PARISH OF DANDONGADALE,       10010225,2008/02/28
   758,2487,DARGALONG,PARISH OF DARGALONG,       10010229,2008/02/28
   761,5223,DARGO (T),TOWNSHIP OF DARGO,       10010232,2008/02/28
   764,2491,DARLINGFORD,PARISH OF DARLINGFORD,       10010235,2008/02/28
   768,2493,DARLINGTON WEST,PARISH OF DARLINGTON WEST,       10010239,2008/02/28
   772,2496,DARRAWEIT GUIM,PARISH OF DARRAWEIT GUIM,       10010243,2008/02/28
   776,2499,DARTAGOOK,PARISH OF DARTAGOOK,       10010247,2008/02/28
   779,5229,DARTMOOR (T),TOWNSHIP OF DARTMOOR,       10010250,2008/02/28
   783,5232,DAYLESFORD WEST (T),TOWNSHIP OF DAYLESFORD WEST,       10010254,2008/02/28
   788,5234,DEDERANG (T),TOWNSHIP OF DEDERANG,       10010259,2008/02/28
   791,2508,DENISON,PARISH OF DENISON,       10010262,2008/02/28
   794,5236,DEPTFORD (T),TOWNSHIP OF DEPTFORD,       10010265,2008/02/28
   798,2512,DERGHOLM,PARISH OF DERGHOLM,       10010269,2008/02/28
   801,2514,DERNDANG,PARISH OF DERNDANG,       10010272,2008/02/28
   805,2517,DETARKA,PARISH OF DETARKA,       10010276,2008/02/28
   808,5240,DEVENISH WEST (T),TOWNSHIP OF DEVENISH WEST,       10010279,2008/02/28
